746	1,0.8744;0,0.7691;4,0.7671;2,0.5654;3,0.5587
357	5,0.9204;3,0.8941;10,0.8732;0,0.8489;4,0.8326;7,0.8254;6,0.8251;1,0.7949;2,0.7748;9,0.75;8,0.4936
978	0,0.9047;1,0.8427;3,0.804;2,0.7102
1067	3,0.8949;1,0.8916;4,0.8577;5,0.8413;2,0.8322;6,0.8171;0,0.1537
782	1,0.9215;0,0.9209;9,0.8583;2,0.851;6,0.8498;5,0.8413;7,0.7762;3,0.7588;4,0.7535;8,0.7123;10,0.0946
453	0,0.6522
295	0,0.8756
1311	1,0.9286;4,0.9136;2,0.8861;6,0.8437;9,0.8257;0,0.8186;3,0.8179;7,0.7243;5,0.7212;8,0.6475
802	0,0.9603;4,0.8619;3,0.8346;1,0.752;2,0.6153
471	0,0.8963;4,0.8879;1,0.8383;2,0.8049;3,0.7098
1086	2,0.9276;1,0.8197;3,0.8028;0,0.6897;4,0.4982
1181	3,0.8991;6,0.8987;14,0.8588;9,0.8392;4,0.8375;8,0.8013;13,0.8011;0,0.7904;11,0.7773;1,0.758;2,0.7067;18,0.6885;12,0.6276;5,0.5883;7,0.5423;15,0.2056;10,0.1156;16,0.0261;17,0.0256
596	0,0.9301;1,0.8778;2,0.6889
1068	1,0.9497;0,0.1392
599	3,0.9138;4,0.9008;0,0.8955;2,0.8485;1,0.6856
864	3,0.9437;5,0.9289;9,0.9063;11,0.9013;10,0.8981;7,0.8585;2,0.8522;4,0.8517;6,0.8515;8,0.8452;12,0.6667;0,0.6048;1,0.1192
1173	0,0.6975;1,0.2085
668	1,0.9195;2,0.7911;0,0.5103
960	2,0.9428;1,0.9208;3,0.9107;0,0.8923;5,0.8624;4,0.6879
1091	0,0.918;2,0.9121;4,0.9075;5,0.8862;1,0.8835;3,0.8453;7,0.7715;6,0.7528;8,0.6668
427	1,0.907;0,0.8275;2,0.7385
1285	15,0.9091;4,0.9003;19,0.8868;2,0.8833;10,0.8729;3,0.8613;8,0.8511;0,0.8333;6,0.8298;13,0.8295;7,0.7841;12,0.7786;18,0.7653;11,0.7632;1,0.7548;16,0.7093;9,0.6989;14,0.6883;5,0.5713;17,0.0304
903	0,0.8963;4,0.8879;1,0.8383;2,0.8049;3,0.7098
391	0,0.8847;1,0.8491;4,0.8276;3,0.7987;2,0.5527
240	0,0.9391;6,0.9008;1,0.8527;4,0.8461;5,0.8263;7,0.8056;2,0.8037;3,0.6743
1252	6,0.8933;3,0.8527;2,0.8101;0,0.7627;5,0.7612;1,0.7592;7,0.7452;4,0.7359
1126	0,0.8852;8,0.8804;1,0.8699;4,0.8438;6,0.8344;2,0.8314;5,0.7385;7,0.1523;3,0.0728
299	0,0.9222;4,0.9063;1,0.8808;2,0.7778;3,0.7669
1207	0,0.9171
1069	5,0.8869;4,0.8855;2,0.8253;3,0.8235;0,0.7826;1,0.591
